Сумма.баллов,Оценка.1,Оценка.2,Оценка.3,Оценка.4,ГТО.оценка,Сочинение.оценка,Аттестат.с.отличием.оценка,Оригинал.,Общежитие,Дата.заявления,Тип.насел..пункта,Участие.в.олимпиадах,Дата.выдачи.док..об.образов,Школа,Сумма.положительных.оценок,,,
315,70,76,82,85,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,313,,,
309,40,86,80,96,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД,Не является  победителем олимпиады,27.06.2018,ЛИЦ 5 МЦЕНСК,302,,,
385,100,96,100,87,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 153 УФ,383,,,
345,70,78,92,98,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 17:44:06,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1502 МОСКВ,338,,,
323,75,78,82,87,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 17:42:22,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ ВШЭ,322,,,
320,75,72,80,89,2,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,24.06.2018,СОШ ЛОМОНОСОВСК ШКОЛА,316,,,
334,70,86,80,96,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,СОШ 2086 МОСКВ,332,,,
358,100,88,96,73,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 16:17:31,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Призер олимпиады из Перечня,29.06.2018,ЛИЦ ВОЛОГОДСК МНОГОПРОФИЛЬН ЛИЦ ВОЛОГД,357,,,
323,65,82,78,91,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Не является  победителем олимпиады,30.06.2018,ЛИЦ ТЕХНИЧЕСК ЛИЦ ЯКУТСК,316,,,
277,50,78,62,85,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 15:01:37,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1581 МОСКВ,275,,,
364,100,92,88,76,2,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 14:21:22,ГОРОД,Победитель олимпиады из Перечня,23.06.2018,ГИМНАЗ 2 КОЛОМН,356,,,
272,35,72,84,80,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 13:55:06,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1 ЮЖНО-САХАЛИНСК,271,,,
389,100,84,100,98,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 13:36:55,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1581 МОСКВ,382,,,
357,100,84,80,91,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 13:13:44,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 179 МОСКВ,355,,,
350,70,80,94,98,0,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ 1519 МОСКВ,342,,,
317,70,90,70,85,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 12:56:19,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Не является  победителем олимпиады,23.06.2018,СОШ 1228 МОСКВ,315,,,
384,100,96,100,87,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 12:28:03,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1580 МОСКВ,383,,,
297,65,76,68,87,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ ТАТЬЯНИНСК ШКОЛ МОСКВ,296,,,
378,100,86,100,85,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Призер олимпиады из Перечня,26.06.2018,ЛИЦ 78 НАБЕРЕЖН,371,,,
353,100,80,86,85,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,03.07.2018 19:11:42,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ ПЯТЬДЕСЯТ СЕДЬМ МОСКВ,351,,,
346,100,78,80,85,2,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,03.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 2086 МОСКВ,343,,,
300,70,84,66,78,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,03.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2017,ЛИЦ 1557 МОСКВ,298,,,
331,60,88,78,98,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,03.07.2018 15:15:57,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 2129 МОСКВ,324,,,
387,100,99,90,96,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,03.07.2018 14:47:12,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ ВШЭ,385,,,
309,60,84,72,91,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,03.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 2086 МОСКВ,307,,,
334,80,80,88,85,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,03.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 153 УФ,333,,,
278,50,76,64,87,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,03.07.2018 14:00:29,ГОРОД,Не является  победителем олимпиады,28.06.2018,ГИМНАЗ 56 ИЖЕВСК,277,,,
307,50,88,76,91,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,25.06.2018,ЛИЦ 38 НИЖНЕГО,305,,,
323,65,88,66,96,0,3,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 4 ФРЯЗИНО,315,,,
328,50,86,84,100,0,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 11:12:22,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 2101 МОСКВ,320,,,
246,35,68,60,76,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 19:09:21,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 14 КУЗНЕЦК,239,,,
374,100,88,86,98,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,ГОРОД,Призер олимпиады из Перечня,29.06.2018,СОШ 14 САРОВ,372,,,
342,80,82,84,89,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 18:50:48,ГОРОД,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ ДИМИТРОВГРАД,335,,,
309,50,88,72,96,2,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 444 МОСКВ,306,,,
310,50,84,74,94,0,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 18:42:28,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ 1554 МОСКВ,302,,,
387,100,92,94,94,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 18:31:31,ГОРОД,Призер олимпиады из Перечня,29.06.2018,СОШ 14 СЕРГИЕВ-ПОСАД,380,,,
320,70,84,70,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 18:05:38,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ ЮГО ВОСТОК МАРШАЛ ЧУЙКОВА МОСКВ,318,,,
314,50,82,86,89,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 18:04:11,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1501 МОСКВ,307,,,
362,90,82,86,98,0,1,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 17:41:12,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1586 МОСКВ,356,,,
323,65,76,84,91,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,ГОРОД,Не является  победителем олимпиады,25.06.2018,ГИМНАЗ 2 РАМЕНСКО,316,,,
330,100,76,80,72,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 17:37:35,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ГИМНАЗ 12 САРАНСК,328,,,
373,100,86,86,94,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,23.06.2018,СОШ 5 КАЛУГ,366,,,
349,85,82,96,85,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1511,348,,,
342,70,90,86,89,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 17:27:14,ГОРОД,Не является  победителем олимпиады,24.06.2018,ГИМНАЗ 1 ВЛАДИВОСТОКА,335,,,
310,60,80,76,87,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 17:19:11,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,КОЛЛЕДЖ ПОЛИТЕХНИЧЕСК ГОДОВИКОВА МОСКВ,303,,,
275,40,72,62,94,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018 17:16:49,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,СОШ 17 ОМСК,268,,,
309,70,78,80,80,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,04.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1502 МОСКВ,308,,,
365,80,94,92,98,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,27.06.2018,СОШ САНКТ ПЕТЕРБУРГСК ГОРОДСК ДВОРЕЦ ТВОРЧЕСТВ ЮНЫХ,364,,,
284,45,78,66,87,0,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 12:48:31,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 1245 МОСКВ,276,,,
383,100,96,92,89,0,1,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Призер олимпиады из Перечня,26.06.2018,ЛИЦ 10 ОДИНЦОВО,377,,,
341,70,86,94,89,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 12:54:32,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,29.06.2018,ЛИЦ 17 КОСТРОМ,339,,,
337,70,84,80,96,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1574 МОСКВ,330,,,
314,65,76,84,87,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1574 МОСКВ,312,,,
341,80,84,96,80,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,СОШ 12 ХАБАРОВСК,340,,,
311,50,92,76,85,2,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 13:03:02,ГОРОД,Не является  победителем олимпиады,28.06.2018,ЛИЦ АРЗАМАС,303,,,
334,60,86,90,94,2,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 853 МОСКВ,330,,,
341,55,90,100,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 13:08:21,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 1298 МОСКВ,339,,,
336,100,80,76,80,0,0,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,29.06.2018,ЛИЦ 1 ВОРОНЕЖ,336,,,
333,65,94,78,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 13:10:46,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 444 МОСКВ,331,,,
312,50,82,88,91,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1550 МОСКВ,311,,,
309,65,84,58,100,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Не является  победителем олимпиады,26.06.2018,ЛИЦ ФИЗИКО МАТЕМАТИЧЕСК ЛИЦ СЕРГИЕВ,307,,,
331,60,84,82,96,2,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ 1507 МОСКВ,322,,,
342,80,84,100,76,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Не является  победителем олимпиады,25.06.2003,СОШ 2 ВОРОТЫНСК,340,,,
326,70,78,76,96,0,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 13:17:34,ГОРОД,Не является  победителем олимпиады,26.06.2018,ГИМНАЗ 10 ТВЕР,320,,,
311,60,86,78,85,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,29.06.2018,ГИМНАЗ 8 ТВЕР,309,,,
382,100,90,94,89,2,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД,Призер олимпиады из Перечня,26.06.2018,ГИМНАЗ 35 ЕКАТЕРИНБУРГ,373,,,
325,60,80,86,98,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Не является  победителем олимпиады,26.06.2018,ЛИЦ 1 ВЛАДИМИР,324,,,
331,60,88,88,94,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 13:35:30,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,30.06.2018,ЛИЦ 3 ВОЛГОГРАД,330,,,
351,80,88,89,93,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,30.06.2017,ЛИЦ ГОСУДАРСТВЕНН ЛИЦ РЕСПУБЛИК ТЫВА,350,,,
359,100,80,84,89,0,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 13:41:47,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Призер олимпиады из Перечня,23.06.2018,ЛИЦ ГУБЕРНСК ЛИЦ,353,,,
379,100,88,94,96,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 13:43:05,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1580 МОСКВ,378,,,
323,50,86,88,96,2,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 17 МОСКВ,320,,,
337,70,90,88,87,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 13:47:09,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,335,,,
387,100,96,92,91,0,3,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 13:48:10,ГОРОД,Призер олимпиады из Перечня,29.06.2018,СОШ 1 ФРОЛОВО,379,,,
288,50,80,72,78,2,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД,Не является  победителем олимпиады,27.06.2018,СОШ 9 ЧЕХОВ,280,,,
390,100,86,100,96,0,3,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 13:55:52,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Победитель олимпиады из Перечня,29.06.2018,СОШ 17 РЯЗАН,382,,,
290,50,76,74,87,0,3,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 13:58:35,ГОРОД,Не является  победителем олимпиады,29.06.2018,ЛИЦ НОВОМОСКОВСК,287,,,
304,40,80,84,94,0,1,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 1347 МОСКВ,298,,,
305,50,74,80,94,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД,Не является  победителем олимпиады,25.06.2018,СОШ 12 БАТАЙСК,298,,,
342,100,88,74,78,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 14:08:09,ГОРОД,Победитель олимпиады из Перечня,28.06.2018,СУНЦ УРФ,340,,,
307,60,84,82,78,2,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 14:10:44,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ ВШЭ,304,,,
325,60,88,88,87,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 14:11:19,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,21.06.2018,ЛИЦ 239 САНКТ,323,,,
333,100,88,58,85,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 179 МОСКВ,331,,,
337,65,82,90,94,0,1,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 14:18:21,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1575 МОСКВ,331,,,
332,60,78,92,94,0,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 14:19:42,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1575 МОСКВ,324,,,
328,60,88,86,87,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД,Не является  победителем олимпиады,28.06.2018,ГИМНАЗ 3 ОРЕНБУРГ,321,,,
392,100,96,100,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 14:23:57,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1533 МОСКВ,390,,,
313,55,82,84,91,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 14:24:10,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,312,,,
369,100,86,90,91,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 14:30:14,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,21.06.2018,ЛИЦ 239 САНКТ,367,,,
401,100,100,100,98,0,3,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,23.06.2018,СОШ 179 МОСКВ,398,,,
321,65,70,94,91,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1502 МОСКВ,320,,,
405,100,98,100,100,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,22.06.2018,ЛИЦ 33 ИВАНОВ,398,,,
229,35,76,52,65,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 14:34:47,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2017,СОШ 37 МОСКВ,228,,,
331,75,78,80,96,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 444 МОСКВ,329,,,
326,60,84,90,91,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД,Не является  победителем олимпиады,26.06.2018,ГИМНАЗ 14 БУГУЛЬМЫ,325,,,
298,55,88,84,70,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД,Не является  победителем олимпиады,28.06.2018,СОШ 146 ПЕРМ,297,,,
322,55,88,88,89,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Не является  победителем олимпиады,28.06.2018,СОШ 146 ПЕРМ,320,,,
309,60,74,96,78,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 14:47:57,ГОРОД,Призер олимпиады из Перечня,23.06.2018,СОШ 6 МЫТИЩ,308,,,
312,55,84,85,81,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД,Не является  победителем олимпиады,28.06.2017,СОШ 1 ФРЯЗИНО,305,,,
